date,job_title,organization,experience,max_experience,quantity_required,salary,gender,deadline,how_to_apply,tags,category,raw_text
2025-04-07 14:11:08+00:00,General Property Admin Officer,Nehco Trading Plc,0,0,1.0,,both,2025-04-11,"Submit your application and CV with supporting documents in person to the Office located at Gurd shola, Century Mall, 4th Floor, Office No. 425","#nehco_trading_plc, #business, #Addis_Ababa, #0_years",,"General Property Admin Officer
#nehco_trading_plc
#business
#Addis_Ababa
Bachelor's Degree or Diploma in Property Management, Management, Business Administration or in a related field of study with relevant work experience
Requirements:
- Experience: 2 years for Diploma and 0 years for Bachelor's Degree
- Shortlisted 2023 & 2024 G.C. Academics years Graduates
- Bachelor's Degree CGPA of 3.25 for Male and 3.00 for Females
- Exit Exam 65 and above for males and 55 and above for females
Duties & Responsibilites:
- Maintain accurate records of all organization properties and assets.
- Coordinate property registration, tagging, and labeling of assets.
- Ensure proper allocation, movement, and transfer of properties between departments.
- Monitor and schedule regular maintenance and repairs for facilities, equipment, and vehicles.
- Conduct periodic physical inventory and asset verification.
Quanitity Required: 1
Minimum Years Of Experience: #0_years
Deadline: April 11, 2025
How To Apply: Submit your application and CV with supporting documents in person to the Office located at Gurd shola, Century Mall, 4th Floor, Office No. 425
@hahujobs | @hahujobs_bot"
2025-04-07 12:38:31+00:00,Workshop Management Assistant( Data Recording),Shangtex Garment Manufacturing Ethiopia Plc,0,0,20.0,,both,2025-04-14,Submit your application and CV with supporting documents via email: shangtexgarment@gmail.com,"#shangtex_garment_manufacturing_ethiopia_plc, #natural_science, #Addis_Ababa, #0_years",,"Workshop Management Assistant( Data Recording)
#shangtex_garment_manufacturing_ethiopia_plc
#natural_science
#Addis_Ababa
Diploma in Statistics, Management or in a related field of study
Gender: Female (as per company requirements)
Duties & Responsibilities:
- Record the output of each worker on the piecework card.
- Prepare daily and monthly production output reports to ensure that the information is correct.
- Use the fixed format to record material transfers between departments.
- Receive unqualified materials and arrange rework.
Quanitity Required: 20
Minimum Years Of Experience: #0_years
Deadline: April 14, 2025
How To Apply: Submit your application and CV with supporting documents via email: shangtexgarment@gmail.com
@hahujobs | @hahujobs_bot"
2025-04-07 08:44:21+00:00,Special Education Needs (SEN) Teacher,British International School,0,0,1.0,,both,2025-04-12,Submit your application and CV with supporting documents via email: jobsbisaddis5@gmail.com or in person to Bole Campus of the British International School or via mail:  post to P.O.BOX 5583,"#british_international_school, #education, #Addis_Ababa, #0_years",Education,"Special Education Needs (SEN) Teacher
#british_international_school
#education
#Addis_Ababa
Bachelor's Degree in a related field of study
Duties & Responsibilites:
- Identify students with special educational needs through observation, assessment, and collaboration with other professionals.
- Develop, implement, and review Individualized Education Plans (IEPs) tailored to each student's specific needs and goals.
- Provide differentiated instruction and adapt teaching materials to meet the diverse learning needs of students.
- Create a safe, inclusive, and supportive classroom environment that encourages student engagement and progress.
Quanitity Required: 1
Minimum Years Of Experience: #0_years
Deadline: April 12, 2025
How To Apply: Submit your application and CV with supporting documents via email: jobsbisaddis5@gmail.com or in person to Bole Campus of the British International School or via mail:  post to P.O.BOX 5583
@hahujobs | @hahujobs_bot"
2025-04-07 08:27:21+00:00,Assistant Teacher,British International School,0,0,1.0,,Female,2025-04-12,Submit your application and CV with supporting documents via email: jobsbisaddis5@gmail.com or in person to Bole Campus of the British International School or via mail:  post to P.O.BOX 5583,"#british_international_school, #education, #Addis_Ababa, #0_years",Education,"Assistant Teacher
#british_international_school
#education
#Addis_Ababa
Bachelor's Degree in a related field of study
Required Gender: Female
Duties & Responsibilites:
- Assist the Lead Teacher in delivering lesson plans and classroom activities.
- Support students individually or in small groups to help reinforce learning concepts.
- Monitor student behavior and help maintain classroom discipline.
- Prepare and organize teaching materials and classroom resources.
Quanitity Required: 1
Minimum Years Of Experience: #0_years
Deadline: April 12, 2025
How To Apply: Submit your application and CV with supporting documents via email: jobsbisaddis5@gmail.com or in person to Bole Campus of the British International School or via mail:  post to P.O.BOX 5583
@hahujobs | @hahujobs_bot"
2025-04-05 09:26:00+00:00,General Practioner for Triage,Saglan Wajee General Hospital,0,0,1.0,23406.91,both,2025-04-19,Submit your CV with the subject General Practitioner for triage via email: jobs@wajeehospital.com,"#saglan_wajee_general_hospital, #health_care, #Holeta, #0_years",Healthcare,"General Practioner for Triage
#saglan_wajee_general_hospital
#health_care
#Holeta
Medical Doctor Graduated from a well-known government University with proficiency in English, Amharic and Afaan Oromoo language
Duties & Responsibilites:
- Conduct initial patient assessments. 
- Provide first-line treatment and management. 
- Prescribe medications. 
- Refer patients for further care. 
- Educate patients on health promotion.
Quanitity Required: 1
Minimum Years Of Experience: #0_years
Salary: 23406.91
Deadline: April 19, 2025
How To Apply: Submit your CV with the subject General Practitioner for triage via email: jobs@wajeehospital.com
Female applicants are highly encouraged. 
@hahujobs | @hahujobs_bot"
2025-04-05 06:17:01+00:00,Finance Assistant- Intern- Female,Dan Church Aid,0,0,1.0,,Female,2025-04-14,Apply using the provided link below,"#dan_church_aid, #finance, #Addis_Ababa, #0_years",Finance,"Finance Assistant- Intern- Female
#dan_church_aid
#finance
#Addis_Ababa
Bachelor's Degree or Diploma in Accounting or in a related field of study
Required Gender: Female
Duties & Responsibilites:
- Prepare payment vouchers and cheques based on approved payment requests forwarded to him/her by a designated person.
- Effect payments only against approved payment request and when the necessary supporting documents are presented.
- Journalize settlement of advances with the guidance of Finance Assistant
- Support the finance Section to full fill that supporting documents for goods (example GRN) and services (accomplishment reports) purchased are collected timely and attached to the respective payment vouchers.
Quanitity Required: 1
Minimum Years Of Experience: #0_years
Deadline: April 14, 2025
How To Apply: Apply using the provided link below
@hahujobs | @hahujobs_bot"
2025-04-04 13:15:37+00:00,Junior Site Engineer,Ethiopian Engineering Corporation,0,0,2.0,,both,2025-05-02,Apply using the provided link below,"#ethiopian_engineering_corporation, #engineering, #Addis_Ababa, #0_years",Engineering,"Junior Site Engineer
#ethiopian_engineering_corporation
#engineering
#Addis_Ababa
Bachelor's Degree in Civil Engineering or in a related field of study
Duties & Responsibilites:
- Establish and maintain strong working relationship with internal and external stakeholders, design team, authorities, utilities and associated organizations.
- Responsible for executing & implementing technical documents, drawings & quality, safety, and site supervision.
- Works under the direct command and management of Engineers/Managers.
Required Skills:
- Excellent analytical and problem-solving skills
- Strong technical writing and verbal communication skills
- Excellent knowledge of construction processes, quality, and safety.
Quanitity Required: 2
Minimum Years Of Experience: #0_years
Deadline: May 2, 2025
How To Apply: Apply using the provided link below
@hahujobs | @hahujobs_bot"
2025-04-04 07:23:36+00:00,#bambinos,Bambinos,0,1,1.0,5000.0,both,2025-04-13,In person,"#bambinos, #business, #Addis_Ababa, #0_years, #1_years",,"#bambinos
#business
#Addis_Ababa
Quanitity Required: 1
Minimum Years Of Experience: #0_years
Maximum Years Of Experience: #1_years
Salary: 5000.00
Deadline: April 13, 2025
@hahujobs | @hahujobs_bot"
2025-04-04 06:54:31+00:00,Junior Application Developer,Ethiopian Commodity Exchange,0,0,1.0,,both,2025-04-10,Apply using the provided link below,"#ethiopian_commodity_exchange, #ict, #Addis_Ababa, #0_years",IT/Tech,"Junior Application Developer
#ethiopian_commodity_exchange
#ict
#Addis_Ababa
BSc Degree in Computer Science, Software Engineering, Information Systems or in a related field of study
Duties and Responsibilities:
- Gathers and refines user requirements from business users, contributes to and assists in the design of corporate business applications, and produces requirements and design documents.
- Develops application logic using a programming language and unit tests the application by strictly adhering to the software development life cycle process and method.
- Fixes application bugs, maintains existing applications, and gives application support as directed by the division manager.
Quanitity Required: 1
Minimum Years Of Experience: #0_years
Deadline: April 10, 2025
How To Apply: Apply using the provided link below
@hahujobs | @hahujobs_bot"
2025-04-03 13:18:45+00:00,Nurse (Re-Advertised),Saglan Wajee General Hospital,0,0,10.0,12000.0,both,2025-04-17,"Submit your CV with the subject ""Nurse"" via email: jobs@wajeehospital.com.","#saglan_wajee_general_hospital, #health_care, #Holeta, #Anfo, #0_years",Healthcare,"Nurse (Re-Advertised)
#saglan_wajee_general_hospital
#health_care
#Holeta | #Anfo
Bachelor's Degree in Nursing Graduate only Graduated from a Government University with a CGPA of 3.00 and above
Duties & Responsibilites:
- Assessing patients' health conditions and needs.
- Developing and implementing patient care plans.
- Administering medications and treatments as prescribed by physicians.
- Monitoring patients' vital signs and responses to treatment.
- Performing wound care and other medical procedures.
- Assisting patients with daily activities, such as bathing, dressing, and eating.
- Communicating effectively with patients, families, and other healthcare professionals.
Quanitity Required: 10
Minimum Years Of Experience: #0_years
Salary: 12000.00
Deadline: April 17, 2025
How To Apply: Submit your CV with the subject ""Nurse"" via email: jobs@wajeehospital.com.
Female Candidates are highly encouraged to apply
@hahujobs | @hahujobs_bot"
2025-04-03 13:01:01+00:00,EHS Junior Executive (Environmental Health & Safety),Jay Jay Textiles Plc,0,0,3.0,,both,2025-05-03,Submit your application letter via email: NBirtukan@jayjaytextiles.com,"#jay_jay_textiles_plc, #health_care, #Addis_Ababa, #0_years",Healthcare,"EHS Junior Executive (Environmental Health & Safety)
#jay_jay_textiles_plc
#health_care
#Addis_Ababa
BSc Degree in Environmental Health and Safety, Chemical Engineering or in a related field of study
Duties and Responsibilities:
- Implement safety standards toward the company's health and safety objective. Prepare safety instructions and Safety signage, make sure all are available, and prepare if necessary.
- Plan and carry out regular internal audits to ensure compliance with legal, buyer, and international standard in the plants to ensure the effectiveness of the management system.
Quanitity Required: 3
Minimum Years Of Experience: #0_years
Deadline: May 3, 2025
How To Apply: Submit your application letter via email: NBirtukan@jayjaytextiles.com
@hahujobs | @hahujobs_bot"
2025-04-03 12:52:31+00:00,Junior Industrial Engineering Executive,Jay Jay Textiles Plc,0,0,1.0,,both,2025-05-03,Submit your application and CV along with supporting documents Via email: NBirtukan@jayjaytextiles.com,"#jay_jay_textiles_plc, #engineering, #Addis_Ababa, #0_years",Engineering,"Junior Industrial Engineering Executive
#jay_jay_textiles_plc
#engineering
#Addis_Ababa
Duties and Responsibilities: 
- Plan the method improvement and standardization program
- Every week need to check particular lines' capacity
- Every week need to do operators multi skilling and keep proper record.
- Ensure health and safety, cleanliness procedures are maintained at all times and any behaviors of subordinates that could affect the H&S risks.
Quanitity Required: 1
Minimum Years Of Experience: #0_years
Deadline: May 3, 2025
How To Apply: Submit your application and CV along with supporting documents Via email: NBirtukan@jayjaytextiles.com
@hahujobs | @hahujobs_bot"
2025-04-03 12:47:50+00:00,Outdoor Sales Officer,Go Express,0,1,1.0,,both,2025-04-13,Apply using the provided link below,"#go_express, #business, #Addis_Ababa, #0_years, #1_years",,"Outdoor Sales Officer
#go_express
#business
#Addis_Ababa
Diploma in a related field of study with relevant work experience
Duties & Responsibilites:
- Identify and approach potential business clients needing last-mile, dry freight, and domestic delivery services.
- Conduct face-to-face sales meetings, product presentations, and negotiations with businesses.
- Develop and maintain relationships with key decision-makers in companies.
- Achieve weekly and monthly sales targets in line with company goals.
- Maintain accurate records of sales activities, leads, and customer interactions.
Quanitity Required: 1
Minimum Years Of Experience: #0_years
Maximum Years Of Experience: #1_years
Deadline: April 13, 2025
How To Apply: Apply using the provided link below
@hahujobs | @hahujobs_bot"
2025-04-03 11:45:21+00:00,Gender Equality and Social Inclusion (GESI) Coordinator,Women Empowerment In Action,0,3,1.0,,both,2025-04-10,Submit your non-returnable application letter and updated CV via email: vacancy@we-actionethiopia.org,"#women_empowerment_in_action, #social_science, #Addis_Ababa, #0_years, #3_years",,"Gender Equality and Social Inclusion (GESI) Coordinator
#women_empowerment_in_action
#social_science
#Addis_Ababa
Master's or Bachelor's Degree in Gender Studies, Social Science, Development Studies, Human Rights or in a related field of study with relevant work experience
Experience: 0 - 2 years for Master's and 2 - 3 years for Bachelor's Degree
Duties & Responsibilities:
- Participate and contribute in project planning from gender equality and social inclusion perspective.
- Implement and follow up gender and social inclusion activities from each project.
- Contribute to the implementation of organization advocacy policy and strategies.
- Conduct monitoring of Gender Equality and Social Inclusion activity implementation.
Quanitity Required: 1
Minimum Years Of Experience: #0_years
Maximum Years Of Experience: #3_years
Deadline: April 10, 2025
How To Apply: Submit your non-returnable application letter and updated CV via email: vacancy@we-actionethiopia.org
@hahujobs | @hahujobs_bot"
2025-04-03 09:36:01+00:00,Junior Import Officer,Tibeb Design And Build,0,2,2.0,,both,2025-04-10,"Submit your application letter in person to the office located at Bole Subcity, Woreda 6, Kal Building, 4th Floor, Office No. 403 or via email: g.egeziabher@gmail.com","#tibeb_design_and_build, #business, #Addis_Ababa, #0_years, #2_years",,"Junior Import Officer
#tibeb_design_and_build
#business
#Addis_Ababa
BA Degree in a related field of study with relevant work experience
Duties and Responsibilities:
- Handle import documentation and follow up on shipment progress
- Assist in communication with suppliers and logistics partners
- Prepare daily reports and updates for management
Quanitity Required: 2
Minimum Years Of Experience: #0_years
Maximum Years Of Experience: #2_years
Deadline: April 10, 2025
How To Apply: Submit your application letter in person to the office located at Bole Subcity, Woreda 6, Kal Building, 4th Floor, Office No. 403 or via email: g.egeziabher@gmail.com
@hahujobs | @hahujobs_bot"
2025-04-03 09:19:31+00:00,#national_election_board_of_ethiopia,National Election Board Of Ethiopia,0,1,3.0,,both,2025-04-08,Apply using the provided link below,"#national_election_board_of_ethiopia, #ict, #Addis_Ababa, #0_years, #1_years",IT/Tech,"#national_election_board_of_ethiopia
#ict
#Addis_Ababa
MSc or BSc Degree in Information Technology, Computer Science or in a related field of study with relevant work experience
Duties and Responsibilities:
- Provides technical support and work with the senior store keeper,  
- Troubleshooting simple hardware and software issues. 
- Test functionality of ICT materials available in the store. 
- Identify the type of additional maintenance and repair required for non-functional hard wares 
- Render additional service expected from him/her
Quanitity Required: 3
Minimum Years Of Experience: #0_years
Maximum Years Of Experience: #1_years
Deadline: April 8, 2025
How To Apply: Apply using the provided link below
@hahujobs | @hahujobs_bot"
2025-04-03 09:06:51+00:00,Procurement Assistant - Intern,National Election Board Of Ethiopia,0,1,1.0,,both,2025-04-08,Apply using the provided link below,"#national_election_board_of_ethiopia, #business, #Addis_Ababa, #0_years, #1_years",,"Procurement Assistant - Intern
#national_election_board_of_ethiopia
#business
#Addis_Ababa
MA or BA Degree in Logistics and Supply Chain Management, Management, Economics, Purchasing and Supplies Management, Marketing or in a related field of study with relevant work experience
Duties and Responsibilities:
- Receive purchase requests from different departments and review requests to make sure that requirements or specifications are developed as complete and accurate as possible. 
- Receive procured goods and services and check received items from selected suppliers are based on purchase order and according to specification 
- Prepare and facilitate payments to suppliers / contractors/ consultants 
- Check if documents are full when requesting for payment
Quanitity Required: 1
Minimum Years Of Experience: #0_years
Maximum Years Of Experience: #1_years
Deadline: April 8, 2025
How To Apply: Apply using the provided link below
@hahujobs | @hahujobs_bot"
2025-04-03 08:52:41+00:00,Sales Person,Hayasebat Marketing And Branding,0,0,1.0,,both,2025-04-04,Submit your application letter via email: info@hayasebat.com,"#hayasebat_marketing_and_branding, #business, #Addis_Ababa, #0_years",,"Sales Person
#hayasebat_marketing_and_branding
#business
#Addis_Ababa
Bachelor's Degree or Diploma in a related field of study
Duties and Responsibilities:
- Identifying potential customers and leads through cold calling, referrals, and networking.
-  Qualifying leads to ensure they fit the company's products or services well. 
- Building and maintaining strong relationships with both new and existing customers. 
- Understanding customer needs and pain points to tailor product/service solutions.
Quanitity Required: 1
Minimum Years Of Experience: #0_years
Deadline: April 4, 2025
How To Apply: Submit your application letter via email: info@hayasebat.com
@hahujobs | @hahujobs_bot"
2025-04-03 08:26:32+00:00,#enrich_agro_industry_plc,Enrich Agro Industry Plc,0,1,2.0,,both,2025-04-12,In person,"#enrich_agro_industry_plc, #natural_science, #Addis_Ababa, #0_years, #1_years",,"#enrich_agro_industry_plc
#natural_science
#Addis_Ababa
Quanitity Required: 2
Minimum Years Of Experience: #0_years
Maximum Years Of Experience: #1_years
Deadline: April 12, 2025
@hahujobs | @hahujobs_bot"
2025-04-03 08:26:17+00:00,#enrich_agro_industry_plc,Enrich Agro Industry Plc,0,1,2.0,,both,2025-04-12,In person,"#enrich_agro_industry_plc, #natural_science, #Addis_Ababa, #0_years, #1_years",,"#enrich_agro_industry_plc
#natural_science
#Addis_Ababa
Quanitity Required: 2
Minimum Years Of Experience: #0_years
Maximum Years Of Experience: #1_years
Deadline: April 12, 2025
@hahujobs | @hahujobs_bot"
2025-04-03 07:12:11+00:00,Assistant Ophthalmologist,Biruh Vision Eye Specialty Center,0,2,1.0,,both,2025-04-07,Submit your application letter via email: info@biruhvision.org,"#biruh_vision_eye_specialty_center, #health_care, #Addis_Ababa, #0_years, #2_years",Healthcare,"Assistant Ophthalmologist
#biruh_vision_eye_specialty_center
#health_care
#Addis_Ababa
Bachelor's Degree in Optometry or in a related field of study with relevant work experience
Duties and Responsibilities:
- Conduct initial patient assessments, including medical history documentation and visual acuity tests.
- Assist senior ophthalmologists in diagnosing and managing eye diseases such as cataracts, glaucoma, and retinal disorders.
- Ensure compliance with medical ethics, safety regulations, and clinical protocols.
Quanitity Required: 1
Minimum Years Of Experience: #0_years
Maximum Years Of Experience: #2_years
Deadline: April 7, 2025
How To Apply: Submit your application letter via email: info@biruhvision.org
@hahujobs | @hahujobs_bot"
2025-04-02 12:33:31+00:00,AutoCAD Designer,Sets General Trading Plc,0,0,2.0,,both,2025-04-12,"Submit your current CV and cover letter via email: nigussie.hr@setsgeneraltrading.com or in person to the Office located around Jakros Meta Beer area, near Enat Bank. For further information contact Tel. +251116459817 / +251116459818","#sets_general_trading_plc, #low_and_medium_skilled_worker, #Addis_Ababa, #0_years",,"AutoCAD Designer
#sets_general_trading_plc
#low_and_medium_skilled_worker
#Addis_Ababa
Certificate in Architecture or in a related field of study (Drafting, engineering)
No prior experience is required, but familiarity with AutoCAD and Microsoft Office.
Quanitity Required: 2
Minimum Years Of Experience: #0_years
Deadline: April 12, 2025
How To Apply: Submit your current CV and cover letter via email: nigussie.hr@setsgeneraltrading.com or in person to the Office located around Jakros Meta Beer area, near Enat Bank. For further information contact Tel. +251116459817 / +251116459818
@hahujobs | @hahujobs_bot"
2025-04-02 12:00:28+00:00,Call Center Representative,Ison Xperiences Ethio Call Plc,0,0,100.0,,both,2025-04-11,Apply through HaHuJobs telegram bot https://t.me/hahujobs_bot,"#ison_xperiences_ethio_call_plc, #business, #Addis_Ababa, #0_years",,"Call Center Representative
#ison_xperiences_ethio_call_plc
#business
#Addis_Ababa
Bachelor's Degree in any field of study
Languages: Amharic, English, Afan-Oromo, Tigrigna, Somali
Duties & Responsibilities:
- Build rapport with customers by handling each and every customer call in a courteous; and professional manner,
- Ensures consistently imparts the correct product and services information during each call.
- Obtains; imparts; clarifies and verifies information to and/or from customers to ensure delivery of exceptional customer service
- Demonstrate appropriate levels of empathy in situations that require these skills; and provides customers with caring individualized attention.
- Accurately tags each call as per defined tagging list/CRM tagging list.
- Ensure that the quality of each call is in compliance with predefined quality parameters.
Required Skills:
- Excellent listening skills
- Ses appropriate probing techniques to facilitate clear understanding of queries and thus provide appropriate and accurate solutions to customer queries.
Quanitity Required: 100
Minimum Years Of Experience: #0_years
Deadline: April 11, 2025
How To Apply: Apply through HaHuJobs telegram bot https://t.me/hahujobs_bot
@hahujobs | @hahujobs_bot"
